prov_code,prov_name,lower,upper
11,Beijing,0.5,1
12,Tianjin,0.5,1
13,Hebei,0.4,0.8
14,Shanxi,0.4,0.8
15,Neimenggu,0.45,0.9
21,Liaoning,0.45,0.9
22,Jilin,0.35,0.7
23,Heilongjiang,0.3,0.6
31,Shanghai,0.5,1
32,Jiangsu,0.5,1
33,Zhejiang,0.5,1
34,Anhui,0.3,0.6
35,Fujian,0.45,0.9
36,Jiangxi,0.3,0.6
37,Shandong,0.45,0.9
41,Henan,0.35,0.7
42,Hubei,0.4,0.8
43,Hunan,0.35,0.7
44,Guangdong,0.45,0.9
45,Guangxi,0.3,0.6
46,Hainan,0.3,0.6
50,Chongqing,0.4,0.8
51,Sichuan,0.3,0.6
52,Guizhou,0.3,0.6
53,Yunnan,0.3,0.6
54,Tibet,0.3,0.6
61,Shaanxi,0.4,0.8
62,Gansu,0.3,0.6
63,Qinghai,0.3,0.6
64,Ningxia,0.35,0.7
65,Xinjiang,0.35,0.7