"prov_name","yr","vacrt_eff"
"Shanghai",1990,0.88806586093415
"Shanghai",1991,0.890595719974416
"Shanghai",1992,0.893083135163962
"Shanghai",1993,0.895528521819252
"Shanghai",1994,0.897932303281551
"Shanghai",1995,0.900294910326876
"Shanghai",1996,0.902616780590232
"Shanghai",1997,0.90489835800438
"Shanghai",1998,0.907140092253416
"Shanghai",1999,0.909342438241313
"Shanghai",2000,0.911505855575616
"Shanghai",2001,0.913630808066374
"Shanghai",2002,0.915717763240403
"Shanghai",2003,0.917767191870922
"Shanghai",2004,0.919779567522548
"Shanghai",2005,0.92175536611165
"Shanghai",2006,0.923695065481993
"Shanghai",2007,0.925599144995597
"Shanghai",2008,0.927468085138704
"Shanghai",2009,0.929302367142709
"Shanghai",2010,0.93110247261992
"Shanghai",2011,0.932868883213963
"Shanghai",2012,0.934602080264635
"Shanghai",2013,0.936302544487002
"Shanghai",2014,0.937970755664512
"Beijing",1990,0.9442648172823
"Beijing",1991,0.94441287744756
"Beijing",1992,0.944560461128591
"Beijing",1993,0.944707569647245
"Beijing",1994,0.944854204323165
"Beijing",1995,0.945000366473772
"Beijing",1996,0.945146057414262
"Beijing",1997,0.945291278457597
"Beijing",1998,0.945436030914501
"Beijing",1999,0.945580316093449
"Beijing",2000,0.945724135300664
"Beijing",2001,0.94586748984011
"Beijing",2002,0.946010381013485
"Beijing",2003,0.946152810120216
"Beijing",2004,0.94629477845745
"Beijing",2005,0.946436287320052
"Beijing",2006,0.946577338000594
"Beijing",2007,0.946717931789357
"Beijing",2008,0.946858069974314
"Beijing",2009,0.946997753841137
"Beijing",2010,0.94713698467318
"Beijing",2011,0.947275763751482
"Beijing",2012,0.947414092354757
"Beijing",2013,0.947551971759389
"Beijing",2014,0.94768940323943
"Tianjin",1990,0.946517543509706
"Tianjin",1991,0.946586292053296
"Tianjin",1992,0.946654893510089
"Tianjin",1993,0.94672334815391
"Tianjin",1994,0.946791656258263
"Tianjin",1995,0.946859818096326
"Tianjin",1996,0.946927833940953
"Tianjin",1997,0.946995704064673
"Tianjin",1998,0.947063428739689
"Tianjin",1999,0.947131008237877
"Tianjin",2000,0.947198442830789
"Tianjin",2001,0.947265732789647
"Tianjin",2002,0.947332878385346
"Tianjin",2003,0.947399879888455
"Tianjin",2004,0.94746673756921
"Tianjin",2005,0.947533451697522
"Tianjin",2006,0.947600022542972
"Tianjin",2007,0.947666450374809
"Tianjin",2008,0.947732735461952
"Tianjin",2009,0.947798878072991
"Tianjin",2010,0.947864878476184
"Tianjin",2011,0.947930736939455
"Tianjin",2012,0.947996453730398
"Tianjin",2013,0.948062029116275
"Tianjin",2014,0.948127463364013
"Jiangsu",1990,0.909560901635522
"Jiangsu",1991,0.911372035016186
"Jiangsu",1992,0.913144048660368
"Jiangsu",1993,0.914877322369611
"Jiangsu",1994,0.916572260000486
"Jiangsu",1995,0.91822928774302
"Jiangsu",1996,0.919848852433663
"Jiangsu",1997,0.92143141990644
"Jiangsu",1998,0.92297747338558
"Jiangsu",1999,0.924487511922438
"Jiangsu",2000,0.925962048879173
"Jiangsu",2001,0.927401610461239
"Jiangsu",2002,0.928806734300412
"Jiangsu",2003,0.930177968089707
"Jiangsu",2004,0.931515868271242
"Jiangsu",2005,0.932820998777791
"Jiangsu",2006,0.934093929828506
"Jiangsu",2007,0.935335236778996
"Jiangsu",2008,0.93654549902575
"Jiangsu",2009,0.937725298964659
"Jiangsu",2010,0.93887522100317
"Jiangsu",2011,0.939995850625463
"Jiangsu",2012,0.941087773509861
"Jiangsu",2013,0.942151574697526
"Jiangsu",2014,0.943187837811402
"Zhejiang",1990,0.872604259761339
"Zhejiang",1991,0.876165729704842
"Zhejiang",1992,0.879648343214543
"Zhejiang",1993,0.883052867548588
"Zhejiang",1994,0.88638011858551
"Zhejiang",1995,0.889630957344592
"Zhejiang",1996,0.892806286576041
"Zhejiang",1997,0.895907047428351
"Zhejiang",1998,0.898934216199491
"Zhejiang",1999,0.901888801177613
"Zhejiang",2000,0.904771839576279
"Zhejiang",2001,0.907584394568332
"Zhejiang",2002,0.91032755242192
"Zhejiang",2003,0.913002419741392
"Zhejiang",2004,0.915610120815226
"Zhejiang",2005,0.918151795072455
"Zhejiang",2006,0.920628594648581
"Zhejiang",2007,0.923041682061371
"Zhejiang",2008,0.925392227996479
"Zhejiang",2009,0.927681409202409
"Zhejiang",2010,0.929910406493894
"Zhejiang",2011,0.932080402862437
"Zhejiang",2012,0.934192581692413
"Zhejiang",2013,0.936248125080859
"Zhejiang",2014,0.93824821225879
"Guangdong",1990,0.86439685092499
"Guangdong",1991,0.868569648638541
"Guangdong",1992,0.87263948117867
"Guangdong",1993,0.876607007230005
"Guangdong",1994,0.880473021124999
"Guangdong",1995,0.884238443745259
"Guangdong",1996,0.887904313403128
"Guangdong",1997,0.89147177676487
"Guangdong",1998,0.89494207987134
"Guangdong",1999,0.898316559306291
"Guangdong",2000,0.90159663355684
"Guangdong",2001,0.904783794604965
"Guangdong",2002,0.907879599783435
"Guangdong",2003,0.910885663924275
"Guangdong",2004,0.913803651822847
"Guangdong",2005,0.91663527103584
"Guangdong",2006,0.919382265027071
"Guangdong",2007,0.922046406670864
"Guangdong",2008,0.924629492119041
"Guangdong",2009,0.927133335034191
"Guangdong",2010,0.929559761188797
"Guangdong",2011,0.931910603427166
"Guangdong",2012,0.934187696984714
"Guangdong",2013,0.936392875157175
"Guangdong",2014,0.938527965310529
"Fujian",1990,0.856189442088642
"Fujian",1991,0.860960233489022
"Fujian",1992,0.865605180716358
"Fujian",1993,0.870124852245935
"Fujian",1994,0.874520032091922
"Fujian",1995,0.878791705546543
"Fujian",1996,0.882941044818666
"Fujian",1997,0.886969394682425
"Fujian",1998,0.890878258236745
"Fujian",1999,0.8946692828665
"Fujian",2000,0.898344246485936
"Fujian",2001,0.901905044134911
"Fujian",2002,0.905353674988704
"Fujian",2003,0.908692229832607
"Fujian",2004,0.911922879043523
"Fujian",2005,0.915047861112186
"Fujian",2006,0.91806947173171
"Fujian",2007,0.920990053470778
"Fujian",2008,0.923811986043047
"Fujian",2009,0.926537677178304
"Fujian",2010,0.929169554095421
"Fujian",2011,0.931710055572362
"Fujian",2012,0.934161624604318
"Fujian",2013,0.9365267016374
"Fujian",2014,0.938807718362267
"Shandong",1990,0.847982033252293
"Shandong",1991,0.853342469932792
"Shandong",1992,0.858554953375048
"Shandong",1993,0.863619973342723
"Shandong",1994,0.868538310561373
"Shandong",1995,0.873311017581508
"Shandong",1996,0.877939399465687
"Shandong",1997,0.882424994456609
"Shandong",1998,0.886769554769366
"Shandong",1999,0.890975027636745
"Shandong",2000,0.89504353672217
"Shandong",2001,0.898977364000647
"Shandong",2002,0.902778932194134
"Shandong",2003,0.906450787834337
"Shandong",2004,0.909995585013105
"Shandong",2005,0.913416069868472
"Shandong",2006,0.916715065843142
"Shandong",2007,0.919895459741743
"Shandong",2008,0.922960188603662
"Shandong",2009,0.92591222739965
"Shandong",2010,0.928754577552706
"Shandong",2011,0.931490256276888
"Shandong",2012,0.934122286721823
"Shandong",2013,0.936653688905552
"Shandong",2014,0.939087471414006
"Neimenggu",1990,0.849387956186938
"Neimenggu",1991,0.854594080097639
"Neimenggu",1992,0.859658951668601
"Neimenggu",1993,0.864583050643268
"Neimenggu",1994,0.869367128890529
"Neimenggu",1995,0.874012192525954
"Neimenggu",1996,0.878519483870017
"Neimenggu",1997,0.882890463389514
"Neimenggu",1998,0.887126791755514
"Neimenggu",1999,0.891230312137924
"Neimenggu",2000,0.895203032843385
"Neimenggu",2001,0.899047110390002
"Neimenggu",2002,0.902764833099405
"Neimenggu",2003,0.906358605274154
"Neimenggu",2004,0.909830932016543
"Neimenggu",2005,0.913184404733571
"Neimenggu",2006,0.916421687362353
"Neimenggu",2007,0.919545503340533
"Neimenggu",2008,0.922558623337335
"Neimenggu",2009,0.925463853752931
"Neimenggu",2010,0.92826402598658
"Neimenggu",2011,0.930961986467652
"Neimenggu",2012,0.933560587438165
"Neimenggu",2013,0.936062678470643
"Neimenggu",2014,0.938471098701122
"Liaoning",1990,0.850793879121583
"Liaoning",1991,0.855843869608314
"Liaoning",1992,0.8607594847502
"Liaoning",1993,0.865541194314336
"Liaoning",1994,0.870189720718866
"Liaoning",1995,0.874706022455348
"Liaoning",1996,0.879091277361521
"Liaoning",1997,0.88334686587956
"Liaoning",1998,0.887474354422986
"Liaoning",1999,0.891475478963193
"Liaoning",2000,0.895352128934168
"Liaoning",2001,0.899106331541806
"Liaoning",2002,0.902740236552176
"Liaoning",2003,0.906256101621617
"Liaoning",2004,0.909656278220413
"Liaoning",2005,0.912943198191464
"Liaoning",2006,0.916119360975598
"Liaoning",2007,0.919187321526246
"Liaoning",2008,0.922149678927935
"Liaoning",2009,0.925009065725706
"Liaoning",2010,0.927768137965893
"Liaoning",2011,0.930429565942846
"Liaoning",2012,0.932996025641085
"Liaoning",2013,0.935470190857972
"Liaoning",2014,0.937854725988238
"Hubei",1990,0.852199802056228
"Hubei",1991,0.857091553432167
"Hubei",1992,0.861856010123325
"Hubei",1993,0.866493631971187
"Hubei",1994,0.871005111256073
"Hubei",1995,0.875391357470297
"Hubei",1996,0.879653481955709
"Hubei",1997,0.883792782529093
"Hubei",1998,0.887810728208083
"Hubei",1999,0.891708944139028
"Hubei",2000,0.895489196816963
"Hubei",2001,0.899153379676689
"Hubei",2002,0.902703499122972
"Hubei",2003,0.906141661057325
"Hubei",2004,0.909470057948776
"Hubei",2005,0.912690956486418
"Hubei",2006,0.915806685842775
"Hubei",2007,0.918819626568712
"Hubei",2008,0.921732200133157
"Hubei",2009,0.924546859114146
"Hubei",2010,0.927266078041596
"Hubei",2011,0.929892344886875
"Hubei",2012,0.932428153189575
"Hubei",2013,0.934875994807863
"Hubei",2014,0.937238353275354
"Chongqing",1990,0.853605724990873
"Chongqing",1991,0.858336783762959
"Chongqing",1992,0.862947865815836
"Chongqing",1993,0.867439421124503
"Chongqing",1994,0.871812111030879
"Chongqing",1995,0.876066794425658
"Chongqing",1996,0.880204513809119
"Chongqing",1997,0.884226481342308
"Chongqing",1998,0.888134064990255
"Chongqing",1999,0.891928774848721
"Chongqing",2000,0.89561224973584
"Chongqing",2001,0.899186244119952
"Chongqing",2002,0.902652615444969
"Chongqing",2003,0.906013311905184
"Chongqing",2004,0.909270360712239
"Chongqing",2005,0.912425856888448
"Chongqing",2006,0.915481952612616
"Chongqing",2007,0.918440847137126
"Chongqing",2008,0.921304777288257
"Chongqing",2009,0.924076008555637
"Chongqing",2010,0.926756826771218
"Chongqing",2011,0.929349530373333
"Chongqing",2012,0.931856423247207
"Chongqing",2013,0.934279808129635
"Chongqing",2014,0.93662198056247
"Shaanxi",1990,0.855011647925518
"Shaanxi",1991,0.859579131732948
"Shaanxi",1992,0.864034235572979
"Shaanxi",1993,0.868377399623576
"Shaanxi",1994,0.87260925334775
"Shaanxi",1995,0.876730603152098
"Shaanxi",1996,0.880742419939623
"Shaanxi",1997,0.884645826655589
"Shaanxi",1998,0.888442085916514
"Shaanxi",1999,0.892132587803405
"Shaanxi",2000,0.895718837891366
"Shaanxi",2001,0.89920244557875
"Shaanxi",2002,0.902585112770289
"Shaanxi",2003,0.905868622960168
"Shaanxi",2004,0.90905483075297
"Shaanxi",2005,0.912145651852785
"Shaanxi",2006,0.915143053543694
"Shaanxi",2007,0.918049045678282
"Shaanxi",2008,0.920865672184807
"Shaanxi",2009,0.923595003098278
"Shaanxi",2010,0.926239127115805
"Shaanxi",2011,0.928800144672324
"Shaanxi",2012,0.931280161529051
"Shaanxi",2013,0.933681282863802
"Shaanxi",2014,0.936005607849587
"Shanxi",1990,0.856417570860163
"Shanxi",1991,0.860818062335991
"Shanxi",1992,0.86511410112906
"Shanxi",1993,0.869306117702647
"Shanxi",1994,0.873394708525773
"Shanxi",1995,0.877380625289047
"Shanxi",1996,0.881264764030999
"Shanxi",1997,0.885048154260268
"Shanxi",1998,0.888731948151573
"Shanxi",1999,0.89231740988559
"Shanxi",2000,0.895805905195098
"Shanxi",2001,0.899198891172055
"Shanxi",2002,0.902497906382645
"Shanxi",2003,0.905704561330092
"Shanxi",2004,0.908820529298035
"Shanxi",2005,0.911847537600684
"Shanxi",2006,0.914787359259856
"Shanxi",2007,0.917641805123308
"Shanxi",2008,0.920412716433592
"Shanxi",2009,0.923101957851995
"Shanxi",2010,0.925711410937917
"Shanxi",2011,0.928242968080314
"Shanxi",2012,0.930698526874668
"Shanxi",2013,0.933079984936068
"Shanxi",2014,0.935389235136703
"Hebei",1990,0.857823493794808
"Hebei",1991,0.862052899427445
"Hebei",1992,0.866186175592511
"Hebei",1993,0.870223743137233
"Hebei",1994,0.874166164200935
"Hebei",1995,0.87801413308476
"Hebei",1996,0.88176846704913
"Hebei",1997,0.885430097110102
"Hebei",1998,0.889000058899576
"Hebei",1999,0.892479483647818
"Hebei",2000,0.895869589340295
"Hebei",2001,0.899171672094385
"Hebei",2002,0.902387097795217
"Hebei",2003,0.905517294023808
"Hebei",2004,0.908563742304878
"Hebei",2005,0.911527970696228
"Hebei",2006,0.914411546736448
"Hebei",2007,0.917216070763028
"Hebei",2008,0.919943169608587
"Hebei",2009,0.922594490679043
"Hebei",2010,0.925171696414082
"Hebei",2011,0.927676459127128
"Hebei",2012,0.93011045621939
"Hebei",2013,0.93247536576019
"Hebei",2014,0.934772862423819
"Ningxia",1990,0.859229416729453
"Ningxia",1991,0.863282775896219
"Ningxia",1992,0.867248808609427
"Ningxia",1993,0.871127926219791
"Ningxia",1994,0.87492065491829
"Ningxia",1995,0.878627628376811
"Ningxia",1996,0.882249580335025
"Ningxia",1997,0.885787337189468
"Ningxia",1998,0.889241810635847
"Ningxia",1999,0.892613990410557
"Ningxia",2000,0.895904937172275
"Ningxia",2001,0.899115775559482
"Ningxia",2002,0.902247687454752
"Ningxia",2003,0.905301905481958
"Ningxia",2004,0.908279706757898
"Ningxia",2005,0.91118240691562
"Ningxia",2006,0.914011354412638
"Ningxia",2007,0.916767925133592
"Ningxia",2008,0.919453517293437
"Ningxia",2009,0.92206954664424
"Ningxia",2010,0.924617441985882
"Ningxia",2011,0.927098640978524
"Ningxia",2012,0.929514586252615
"Ningxia",2013,0.931866721810348
"Ningxia",2014,0.934156489710935
"Xinjiang",1990,0.860635339664098
"Xinjiang",1991,0.864506561123386
"Xinjiang",1992,0.868299848297107
"Xinjiang",1993,0.872015603186234
"Xinjiang",1994,0.875654314045842
"Xinjiang",1995,0.879216549940356
"Xinjiang",1996,0.882702955265124
"Xinjiang",1997,0.886114244273772
"Xinjiang",1998,0.889451195647352
"Xinjiang",1999,0.892714647137708
"Xinjiang",2000,0.895905490313918
"Xinjiang",2001,0.899024665437104
"Xinjiang",2002,0.902073156485417
"Xinjiang",2003,0.905051986347651
"Xinjiang",2004,0.907962212200737
"Xinjiang",2005,0.910804921083313
"Xinjiang",2006,0.913581225674766
"Xinjiang",2007,0.916292260286519
"Xinjiang",2008,0.918939177069936
"Xinjiang",2009,0.921523142443061
"Xinjiang",2010,0.924045333736473
"Xinjiang",2011,0.926506936056806
"Xinjiang",2012,0.928909139365005
"Xinjiang",2013,0.931253135765087
"Xinjiang",2014,0.933540116998051
"Hunan",1990,0.862041262598743
"Hunan",1991,0.865722752654955
"Hunan",1992,0.869336435067157
"Hunan",1993,0.872882702669565
"Hunan",1994,0.876362003303535
"Hunan",1995,0.879774836466573
"Hunan",1996,0.883121749949694
"Hunan",1997,0.886403336484526
"Hunan",1998,0.889620230419727
"Hunan",1999,0.892773104444303
"Hunan",2000,0.895862666373522
"Hunan",2001,0.898889656011187
"Hunan",2002,0.901854842100135
"Hunan",2003,0.904759019371064
"Hunan",2004,0.907603005698004
"Hunan",2005,0.910387639367154
"Hunan",2006,0.913113776464255
"Hunan",2007,0.915782288384276
"Hunan",2008,0.918394059465878
"Hunan",2009,0.920949984751955
"Hunan",2010,0.923450967876499
"Hunan",2011,0.925897919077105
"Hunan",2012,0.928291753331604
"Hunan",2013,0.93063338861661
"Hunan",2014,0.932923744285168
"Henan",1990,0.863447185533388
"Henan",1991,0.866929309647678
"Henan",1992,0.870354684626488
"Henan",1993,0.87372369436943
"Henan",1994,0.877036743160408
"Henan",1995,0.880294254637673
"Henan",1996,0.883496670776731
"Henan",1997,0.88664445088745
"Henan",1998,0.889738070626654
"Henan",1999,0.89277802102737
"Henan",2000,0.895764807545769
"Henan",2001,0.898698949126799
"Henan",2002,0.90158097728934
"Henan",2003,0.904411435231691
"Henan",2004,0.90719087695804
"Henan",2005,0.909919866426546
"Henan",2006,0.912598976719515
"Henan",2007,0.915228789236121
"Henan",2008,0.917809892908029
"Henan",2009,0.920342883438193
"Henan",2010,0.922828362563044
"Henan",2011,0.925266937338223
"Henan",2012,0.927659219447935
"Henan",2013,0.930005824537962
"Henan",2014,0.932307371572284
"Jilin",1990,0.806723592766694
"Jilin",1991,0.814448154526209
"Jilin",1992,0.822014385176149
"Jilin",1993,0.82940697953678
"Jilin",1994,0.836612337238219
"Jilin",1995,0.843618638857254
"Jilin",1996,0.850415885677475
"Jilin",1997,0.856995904892402
"Jilin",1998,0.863352323020384
"Jilin",1999,0.869480511035528
"Jilin",2000,0.875377505229815
"Jilin",2001,0.881041908112017
"Jilin",2002,0.886473773735398
"Jilin",2003,0.891674481754298
"Jilin",2004,0.89664660427118
"Jilin",2005,0.901393769184963
"Jilin",2006,0.905920523322832
"Jilin",2007,0.910232198163386
"Jilin",2008,0.914334780467297
"Jilin",2009,0.918234789646273
"Jilin",2010,0.921939163240676
"Jilin",2011,0.925455151453942
"Jilin",2012,0.928790221317065
"Jilin",2013,0.931951970733294
"Jilin",2014,0.934948052383334
"Hainan",1990,0.75
"Hainan",1991,0.76170074044446
"Hainan",1992,0.773152870339845
"Hainan",1993,0.784328833934166
"Hainan",1994,0.795204106941209
"Hainan",1995,0.80575733309063
"Hainan",1996,0.815970395724768
"Hainan",1997,0.825828427690171
"Hainan",1998,0.83531976446633
"Hainan",1999,0.84443584678728
"Hainan",2000,0.853171079923966
"Hainan",2001,0.861522657313844
"Hainan",2002,0.869490356378503
"Hainan",2003,0.877076314206059
"Hainan",2004,0.884284790349314
"Hainan",2005,0.891121923364474
"Hainan",2006,0.897595486950031
"Hainan",2007,0.903714650698582
"Hainan",2008,0.909489749596584
"Hainan",2009,0.914932065540528
"Hainan",2010,0.920053623315917
"Hainan",2011,0.92486700273183
"Hainan",2012,0.929385167934417
"Hainan",2013,0.93362131434597
"Hainan",2014,0.937588733194384
"Anhui",1990,0.793750136253468
"Anhui",1991,0.802354095043715
"Anhui",1992,0.810736026695056
"Anhui",1993,0.818889073324253
"Anhui",1994,0.826807593655101
"Anhui",1995,0.834487133142504
"Anhui",1996,0.841924384177739
"Anhui",1997,0.849117137720112
"Anhui",1998,0.856064227732957
"Anhui",1999,0.862765469799218
"Anhui",2000,0.869221595257905
"Anhui",2001,0.87543418214253
"Anhui",2002,0.881405584121013
"Anhui",2003,0.887138858538618
"Anhui",2004,0.892637694556156
"Anhui",2005,0.897906342259214
"Anhui",2006,0.902949543494824
"Anhui",2007,0.907772465073111
"Anhui",2008,0.912380634855879
"Anhui",2009,0.916779881144417
"Anhui",2010,0.920976275676465
"Anhui",2011,0.924976080448787
"Anhui",2012,0.92878569849783
"Anhui",2013,0.932411628696919
"Anhui",2014,0.935860424564334
"Heilongjiang",1990,0.799845635804308
"Heilongjiang",1991,0.808069074777274
"Heilongjiang",1992,0.816077473059472
"Heilongjiang",1993,0.823865308030742
"Heilongjiang",1994,0.831428127726539
"Heilongjiang",1995,0.838762519394399
"Heilongjiang",1996,0.84586607031035
"Heilongjiang",1997,0.85273732198385
"Heilongjiang",1998,0.859375718891144
"Heilongjiang",1999,0.865781552861991
"Heilongjiang",2000,0.871955904206885
"Heilongjiang",2001,0.877900580615115
"Heilongjiang",2002,0.883618054782002
"Heilongjiang",2003,0.88911140164041
"Heilongjiang",2004,0.894384235980636
"Heilongjiang",2005,0.899440651147504
"Heilongjiang",2006,0.904285159406786
"Heilongjiang",2007,0.908922634477584
"Heilongjiang",2008,0.913358256635066
"Heilongjiang",2009,0.9175974607007
"Heilongjiang",2010,0.921645887156099
"Heilongjiang",2011,0.925509336542664
"Heilongjiang",2012,0.929193727242951
"Heilongjiang",2013,0.932705056681304
"Heilongjiang",2014,0.936049365930782
"Sichuan",1990,0.805941135355148
"Sichuan",1991,0.813783759524465
"Sichuan",1992,0.821418300589391
"Sichuan",1993,0.828840584714404
"Sichuan",1994,0.836047361540104
"Sichuan",1995,0.843036271135896
"Sichuan",1996,0.849805805414124
"Sichuan",1997,0.856355264915544
"Sichuan",1998,0.862684711865623
"Sichuan",1999,0.86879492037387
"Sichuan",2000,0.87468732460659
"Sichuan",2001,0.880363965710077
"Sichuan",2002,0.88582743819902
"Sichuan",2003,0.891080836456368
"Sichuan",2004,0.896127701918543
"Sichuan",2005,0.900971971445898
"Sichuan",2006,0.905617927304575
"Sichuan",2007,0.910070149114012
"Sichuan",2008,0.91433346804568
"Sichuan",2009,0.918412923494068
"Sichuan",2010,0.922313722381405
"Sichuan",2011,0.926041201203473
"Sichuan",2012,0.929600790875476
"Sichuan",2013,0.932997984394364
"Sichuan",2014,0.93623830729723
"Jiangxi",1990,0.813107851816476
"Jiangxi",1991,0.820397345516733
"Jiangxi",1992,0.827497184807727
"Jiangxi",1993,0.834403697518145
"Jiangxi",1994,0.841114032210026
"Jiangxi",1995,0.847626128791633
"Jiangxi",1996,0.853938684220018
"Jiangxi",1997,0.860051114100195
"Jiangxi",1998,0.865963510978606
"Jiangxi",1999,0.871676600104379
"Jiangxi",2000,0.877191693394751
"Jiangxi",2001,0.882510642293767
"Jiangxi",2002,0.887635790158085
"Jiangxi",2003,0.892569924743021
"Jiangxi",2004,0.897316231297735
"Jiangxi",2005,0.901878246712909
"Jiangxi",2006,0.906259815098823
"Jiangxi",2007,0.910465045107994
"Jiangxi",2008,0.914498269255647
"Jiangxi",2009,0.918364005434023
"Jiangxi",2010,0.922066920763767
"Jiangxi",2011,0.925611797877581
"Jiangxi",2012,0.929003503688473
"Jiangxi",2013,0.932246960657149
"Jiangxi",2014,0.935347120540483
"Qinghai",1990,0.820274568277805
"Qinghai",1991,0.82700535108536
"Qinghai",1992,0.833565363662707
"Qinghai",1993,0.839951455453099
"Qinghai",1994,0.846161190152281
"Qinghai",1995,0.852192820113964
"Qinghai",1996,0.85804525649665
"Qinghai",1997,0.863718035851894
"Qinghai",1998,0.869211283846151
"Qinghai",1999,0.874525676787266
"Qinghai",2000,0.879662401594558
"Qinghai",2001,0.884623114810336
"Qinghai",2002,0.889409901202812
"Qinghai",2003,0.894025232457652
"Qinghai",2004,0.898471926399724
"Qinghai",2005,0.902753107129682
"Qinghai",2006,0.906872166403299
"Qinghai",2007,0.910832726526121
"Qinghai",2008,0.914638604983199
"Qinghai",2009,0.91829378097398
"Qinghai",2010,0.92180236397663
"Qinghai",2011,0.92516856442442
"Qinghai",2012,0.928396666539569
"Qinghai",2013,0.9314910033372
"Qinghai",2014,0.934455933783736
"Guangxi",1990,0.827441284739134
"Guangxi",1991,0.833605613199484
"Guangxi",1992,0.839618687642965
"Guangxi",1993,0.845477906810719
"Guangxi",1994,0.851181272028512
"Guangxi",1995,0.856727365588545
"Guangxi",1996,0.862115325556751
"Guangxi",1997,0.867344817593556
"Guangxi",1998,0.872416004369387
"Guangxi",1999,0.877329513138563
"Guangxi",2000,0.882086402008139
"Guangxi",2001,0.886688125403829
"Guangxi",2002,0.891136499194872
"Guangxi",2003,0.895433665895455
"Guangxi",2004,0.899582060313524
"Guangxi",2005,0.903584375970044
"Guangxi",2006,0.90744353256409
"Guangxi",2007,0.911162644712718
"Guangxi",2008,0.91474499215018
"Guangxi",2009,0.918193991529334
"Guangxi",2010,0.921513169929661
"Guangxi",2011,0.924706140141284
"Guangxi",2012,0.927776577763148
"Guangxi",2013,0.930728200125989
"Guangxi",2014,0.933564747026988
"Tibet",1990,0.834608001200462
"Tibet",1991,0.840194685078628
"Tibet",1992,0.84565054451979
"Tibet",1993,0.850973567568759
"Tibet",1994,0.85616222569123
"Tibet",1995,0.86121545639747
"Tibet",1996,0.866132643022545
"Tibet",1997,0.870913592131297
"Tibet",1998,0.875558509010933
"Tibet",1999,0.88006797170003
"Tibet",2000,0.884442903981191
"Tibet",2001,0.888684547737185
"Tibet",2002,0.892794435038313
"Tibet",2003,0.896774360293533
"Tibet",2004,0.900626352760628
"Tibet",2005,0.904352649672643
"Tibet",2006,0.907955670199894
"Tibet",2007,0.911437990429855
"Tibet",2008,0.914802319511895
"Tibet",2009,0.918051477080654
"Tibet",2010,0.921188372041193
"Tibet",2011,0.92421598277122
"Tibet",2012,0.927137338770795
"Tibet",2013,0.929955503768014
"Tibet",2014,0.932673560270241
"Yunnan",1990,0.841774717661791
"Yunnan",1991,0.846766717890952
"Yunnan",1992,0.851649714021373
"Yunnan",1993,0.856422344317245
"Yunnan",1994,0.861083599886152
"Yunnan",1995,0.865632811948946
"Yunnan",1996,0.870069637068686
"Yunnan",1997,0.874394040675395
"Yunnan",1998,0.878606279219525
"Yunnan",1999,0.882706881276912
"Yunnan",2000,0.886696627912448
"Yunnan",2001,0.890576532590033
"Yunnan",2002,0.894347820893258
"Yunnan",2003,0.898011910295952
"Yunnan",2004,0.901570390194976
"Yunnan",2005,0.905025002390234
"Yunnan",2006,0.908377622169646
"Yunnan",2007,0.911630240130205
"Yunnan",2008,0.914784944840842
"Yunnan",2009,0.917843906428958
"Yunnan",2010,0.920809361150453
"Yunnan",2011,0.923683596983056
"Yunnan",2012,0.926468940264859
"Yunnan",2013,0.929167743384208
"Yunnan",2014,0.931782373513494
"Gansu",1990,0.848941434123119
"Gansu",1991,0.853310926798482
"Gansu",1992,0.857595506749082
"Gansu",1993,0.861794561930661
"Gansu",1994,0.8659076839268
"Gansu",1995,0.86993466052521
"Gansu",1996,0.873875467172301
"Gansu",1997,0.877730257492261
"Gansu",1998,0.881499353054722
"Gansu",1999,0.885183232569437
"Gansu",2000,0.888782520677836
"Gansu",2001,0.892297976500402
"Gansu",2002,0.895730482086065
"Gansu",2003,0.899081030895809
"Gansu",2004,0.902350716437898
"Gansu",2005,0.905540721156995
"Gansu",2006,0.908652305664403
"Gansu",2007,0.911686798381947
"Gansu",2008,0.914645585657989
"Gansu",2009,0.917530102400867
"Gansu",2010,0.920341823262921
"Gansu",2011,0.923082254397134
"Gansu",2012,0.925752925798595
"Gansu",2013,0.92835538423423
"Gansu",2014,0.930891186756747
"Guizhou",1990,0.856108150584448
"Guizhou",1991,0.859804991538793
"Guizhou",1992,0.863445103996878
"Guizhou",1993,0.867028804874472
"Guizhou",1994,0.870556431910172
"Guizhou",1995,0.874028342737955
"Guizhou",1996,0.877444913967542
"Guizhou",1997,0.880806540273913
"Guizhou",1998,0.884113633497218
"Guizhou",1999,0.887366621754236
"Guizhou",2000,0.890565948562462
"Guizhou",2001,0.893712071977806
"Guizhou",2002,0.896805463746829
"Guizhou",2003,0.899846608474327
"Guizhou",2004,0.902836002807041
"Guizhou",2005,0.905774154634156
"Guizhou",2006,0.908661582305201
"Guizhou",2007,0.911498813865897
"Guizhou",2008,0.914286386312401
"Guizhou",2009,0.917024844864377
"Guizhou",2010,0.919714742257216
"Guizhou",2011,0.922356638053688
"Guizhou",2012,0.924951097975267
"Guizhou",2013,0.927498693253278
"Guizhou",2014,0.93
